BALANCE,BALANCE_FREQUENCY,PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,Cluster
40.900749,0.818182,95.4,0.0,0.166667,0.0,1
3202.467416,0.909091,0.0,6442.945483,0.0,0.0,2
2495.148862,1.0,773.17,0.0,1.0,1.0,0
1666.670542,0.636364,1499.0,205.788017,0.083333,0.083333,1
817.714335,1.0,16.0,0.0,0.083333,0.083333,2
1809.828751,1.0,1333.28,0.0,0.666667,0.0,1
627.260806,1.0,7091.01,0.0,1.0,1.0,0
1823.652743,1.0,436.2,0.0,1.0,0.0,1
1014.926473,1.0,861.49,0.0,0.333333,0.083333,1
152.225975,0.545455,1281.6,0.0,0.166667,0.166667,1
1293.124939,1.0,920.12,0.0,1.0,0.0,1
630.794744,0.818182,1492.18,0.0,0.25,0.25,1
1516.92862,1.0,3217.99,0.0,1.0,0.25,0
921.693369,1.0,2137.93,0.0,0.75,0.166667,1
2772.772734,1.0,0.0,346.81139,0.0,0.0,2
6886.213231,1.0,1611.7,2301.491267,0.5,0.0,2
2072.074354,0.875,0.0,2784.274703,0.0,0.0,2
41.089489,0.454545,519.0,0.0,0.416667,0.0,1
1989.072228,1.0,504.35,0.0,0.666667,0.083333,1
3577.970933,1.0,398.64,0.0,1.0,0.0,1
2016.684686,1.0,176.68,0.0,0.666667,0.0,1
6369.531318,1.0,6359.95,229.028245,1.0,0.916667,0
132.34224,0.636364,815.9,0.0,1.0,0.0,1
3800.151377,0.818182,4248.35,7974.415626,1.0,0.083333,2
5368.571219,1.0,0.0,798.949863,0.0,0.0,2
169.781679,1.0,399.6,0.0,1.0,0.0,1
1615.96724,1.0,102.0,244.840485,0.166667,0.166667,2
125.694817,1.0,233.28,0.0,1.0,0.0,1
7152.864372,1.0,387.05,2236.145259,0.666667,0.166667,2
22.06349,1.0,100.0,0.0,0.416667,0.0,1
12136.21996,1.0,3038.01,3183.583301,1.0,0.166667,2
1162.273324,1.0,1347.71,175.815755,1.0,0.083333,1
6732.823064,1.0,324.95,1189.533753,0.083333,0.083333,2
125.660453,1.0,636.79,0.0,0.916667,0.916667,0
3517.101616,0.727273,547.28,0.0,1.0,0.0,1
1656.350781,1.0,0.0,99.264367,0.0,0.0,2
7427.076941,1.0,0.0,8873.375046,0.0,0.0,2
4047.480828,1.0,2380.55,1697.660901,0.75,0.5,0
6269.418144,1.0,204.0,2925.699862,0.083333,0.083333,2
1411.60223,0.454545,963.24,6173.682877,0.083333,0.083333,2
663.44781,0.727273,0.0,3133.063934,0.0,0.0,2
784.889762,0.909091,1526.59,2188.419607,0.583333,0.416667,1
4104.710798,1.0,203.82,0.0,0.083333,0.083333,2
1360.742377,1.0,0.0,1481.587093,0.0,0.0,2
5315.945594,1.0,1525.44,0.0,1.0,0.333333,0
2242.311686,1.0,437.0,184.648692,0.333333,0.083333,2
474.447149,0.5,109.74,1013.659552,0.375,0.0,1
3910.111237,1.0,0.0,1980.873201,0.0,0.0,2
229.867179,1.0,2390.6,0.0,1.0,0.666667,0
863.809833,1.0,507.5,695.097159,0.166667,0.166667,2
4931.331857,1.0,901.42,8530.648614,0.625,0.375,2
1078.888565,1.0,3107.85,0.0,0.666667,0.583333,0
1565.681099,1.0,0.0,321.359135,0.0,0.0,2
464.674156,0.888889,1979.22,1981.265503,0.666667,0.666667,0
6.660517,0.636364,310.0,0.0,0.666667,0.0,1
1311.995984,1.0,1283.9,0.0,0.25,0.25,1
3625.218146,1.0,313.27,668.468743,0.25,0.25,2
2386.330629,1.0,5217.62,0.0,0.916667,0.916667,0
3971.138765,1.0,0.0,224.575517,0.0,0.0,2
5493.90406,1.0,229.0,970.591332,0.416667,0.0,2
1879.114033,0.727273,113.0,0.0,0.166667,0.166667,1
1555.793701,1.0,66.2,0.0,0.083333,0.083333,2
809.582978,0.909091,0.0,3819.672466,0.0,0.0,2
7.152356,0.090909,840.0,0.0,0.083333,0.083333,1
1923.886805,1.0,1887.64,1605.949371,1.0,0.0,1
1758.059987,1.0,412.33,0.0,0.583333,0.333333,1
809.847455,0.875,0.0,908.423608,0.0,0.0,2
1576.305029,1.0,0.0,382.908547,0.0,0.0,2
3990.523579,1.0,263.5,0.0,0.666667,0.083333,2
1699.435486,1.0,1363.69,0.0,0.333333,0.333333,1
5487.683724,1.0,419.1,625.399386,0.916667,0.0,2
2990.422186,0.909091,4523.27,27296.48576,0.666667,0.5,2
656.01301,1.0,0.0,1474.349901,0.0,0.0,2
1808.972419,1.0,713.9,0.0,0.5,0.1,1
532.334517,0.909091,791.94,0.0,0.272727,0.090909,1
5860.433624,1.0,561.87,0.0,0.833333,0.166667,2
1727.638449,1.0,606.11,0.0,1.0,1.0,0
578.809679,1.0,320.0,0.0,0.75,0.0,1
1205.716678,1.0,0.0,38.325801,0.0,0.0,2
6593.820644,1.0,388.66,4621.93458,0.583333,0.583333,2
17.357563,0.909091,244.85,0.0,0.666667,0.166667,1
81.584711,0.272727,0.0,2985.300006,0.0,0.0,1
3.78631,0.636364,133.05,0.0,0.416667,0.166667,1
42.46443,0.545455,396.0,0.0,0.5,0.0,1
1935.362486,1.0,4915.6,293.844792,1.0,1.0,0
134.917202,1.0,1247.8,0.0,1.0,1.0,0
7069.950386,1.0,1603.78,5626.004046,1.0,0.833333,0
8181.251131,1.0,2258.01,5251.228934,1.0,0.75,0
4037.305658,1.0,45.0,104.238064,0.083333,0.083333,2
6110.265264,1.0,0.0,2717.253917,0.0,0.0,2
9381.255094,1.0,5100.07,370.737197,1.0,0.25,0
1977.00709,1.0,1032.04,4335.919227,0.909091,0.090909,2
1321.47608,1.0,45.65,495.657934,0.083333,0.083333,2
1307.717841,1.0,405.6,0.0,0.166667,0.166667,2
2329.485768,1.0,213.34,0.0,0.25,0.25,2
1139.782882,1.0,0.0,120.612912,0.0,0.0,2
1619.955708,1.0,739.44,0.0,0.666667,0.666667,0
3505.671311,1.0,0.0,1713.984305,0.0,0.0,2
4.708041,0.363636,79.0,0.0,0.25,0.0,1
0.0,0.0,0.0,89.849004,0.0,0.0,1
4.875885,0.666667,20.0,0.0,0.111111,0.111111,1
23.394411,0.272727,1346.28,0.0,1.0,0.0,1
3539.801912,1.0,2823.8,0.0,0.916667,0.916667,0
0.62424,0.090909,389.96,0.0,1.0,0.0,1
862.07238,1.0,0.0,920.309805,0.0,0.0,2
2441.542991,1.0,808.0,959.857263,0.25,0.25,2
408.656365,1.0,941.64,0.0,1.0,0.0,1
4986.400804,1.0,0.0,5439.467563,0.0,0.0,2
1246.624558,1.0,423.7,412.399058,0.666667,0.166667,1
6644.201651,1.0,4478.75,7205.520805,1.0,0.916667,0
156.216753,0.818182,1354.86,0.0,0.916667,0.333333,1
3393.351236,1.0,0.0,1008.348672,0.0,0.0,2
5322.994094,1.0,2812.2,2510.352951,1.0,0.25,0
6458.56209,1.0,0.0,3360.228794,0.0,0.0,2
175.341651,0.818182,1508.9,0.0,0.666667,0.416667,1
680.195157,1.0,1045.57,0.0,1.0,0.583333,0
223.763616,0.636364,2309.78,0.0,0.583333,0.0,1
1785.626943,1.0,0.0,576.206382,0.0,0.0,2
54.933231,0.272727,495.0,0.0,0.166667,0.0,1
2662.629852,1.0,0.0,509.023801,0.0,0.0,2
8504.876253,1.0,6724.26,1686.599777,1.0,0.916667,0
1464.324632,1.0,1174.39,0.0,0.25,0.25,1
2114.158683,1.0,5580.85,0.0,1.0,0.0,0
2876.396444,1.0,0.0,998.84867,0.0,0.0,2
14224.11541,1.0,0.0,4614.427403,0.0,0.0,2
2392.917738,1.0,12462.44,0.0,0.916667,0.916667,0
57.453201,0.75,0.0,272.713302,0.0,0.0,1
4245.855092,1.0,1957.3,0.0,0.833333,0.166667,0
11167.23403,1.0,150.64,8362.154254,0.083333,0.083333,2
69.405545,0.090909,0.0,2799.714934,0.0,0.0,1
116.654149,0.272727,907.0,273.558033,0.25,0.25,1
4637.848144,1.0,1271.12,0.0,0.833333,0.25,0
24.28497,0.636364,250.6,0.0,0.583333,0.0,1
9354.06045,1.0,796.33,13748.47131,0.083333,0.083333,2
231.108995,1.0,440.0,0.0,0.916667,0.0,1
1562.633343,1.0,1330.62,0.0,0.5,0.166667,1
2494.868559,1.0,5491.79,0.0,1.0,0.5,0
706.132889,1.0,897.86,586.268966,0.916667,0.333333,1
19043.13856,1.0,22009.92,0.0,1.0,0.75,0
2235.103331,1.0,720.6,723.308724,1.0,1.0,0
947.13081,1.0,197.06,0.0,0.333333,0.25,1
764.042156,0.818182,0.0,1307.102516,0.0,0.0,2
5347.814547,1.0,0.0,4002.353384,0.0,0.0,2
10598.46777,1.0,2084.48,0.0,0.666667,0.416667,0
2163.678757,1.0,5779.36,0.0,1.0,1.0,0
3057.400553,1.0,1025.0,0.0,0.083333,0.083333,2
19.354559,0.909091,689.7,0.0,0.833333,0.0,1
264.811595,1.0,28.65,384.26178,0.083333,0.083333,1
1108.22253,0.909091,944.96,0.0,0.5,0.25,1
906.573724,1.0,1039.2,103.102091,0.833333,0.083333,1
7679.62904,1.0,4059.93,555.469352,0.583333,0.0,2
1523.911458,1.0,4075.37,0.0,1.0,1.0,0
49.206256,1.0,870.24,0.0,1.0,0.0,1
13673.07961,1.0,9792.23,2444.445738,1.0,0.75,0
106.455975,0.636364,2463.12,0.0,1.0,0.5,0
119.760904,0.363636,1859.34,0.0,0.333333,0.0,1
